index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,0.9071,0.9409,0.8625,0.9292,31558304,280826254
0,Jan 30 2022,0.9289,0.9577,0.8908,0.907,32188434,274104556
0,Jan 29 2022,0.9288,0.9524,0.8969,0.9284,32033550,280570540
0,Jan 28 2022,0.8607,0.9516,0.8581,0.9283,62962175,280551470
0,Jan 27 2022,0.8335,0.8725,0.8083,0.8607,30652173,260102385
0,Jan 26 2022,0.8227,0.8831,0.8011,0.8336,40101214,251930570
0,Jan 25 2022,0.7782,0.8341,0.7638,0.8227,86048349,248633279
0,Jan 24 2022,0.7547,0.7931,0.6654,0.7781,63519908,235143643
0,Jan 23 2022,0.7042,0.794,0.6977,0.7541,61263212,227887047
0,Jan 22 2022,0.7936,0.8042,0.6321,0.7034,41560786,212578692
0,Jan 21 2022,0.8973,0.9242,0.7745,0.7928,38961547,239601337
0,Jan 20 2022,0.9637,1.01,0.8962,0.8971,19718846,271127157
0,Jan 19 2022,1.02,1.02,0.9425,0.9646,26871823,291519426
0,Jan 18 2022,1.07,1.08,0.9977,1.02,29462435,309116950
0,Jan 17 2022,1.13,1.13,1.05,1.07,25754163,323756437
0,Jan 16 2022,1.12,1.14,1.11,1.13,19588651,341160260
0,Jan 15 2022,1.13,1.14,1.11,1.12,15906843,339547705
0,Jan 14 2022,1.13,1.14,1.09,1.13,36831950,341572561
0,Jan 13 2022,1.20,1.21,1.13,1.13,39441053,342645020
0,Jan 12 2022,1.13,1.20,1.10,1.20,45733173,362718510
0,Jan 11 2022,1.09,1.14,1.04,1.13,48135254,341899793
0,Jan 10 2022,1.17,1.18,1.02,1.09,66419441,329678236
0,Jan 09 2022,1.15,1.19,1.14,1.17,30040190,353864993
0,Jan 08 2022,1.20,1.23,1.12,1.15,38179268,348292849
0,Jan 07 2022,1.28,1.30,1.17,1.20,61111711,363615864
0,Jan 06 2022,1.33,1.34,1.21,1.28,130466662,388015729
0,Jan 05 2022,1.46,1.51,1.27,1.33,48024936,321776041
0,Jan 04 2022,1.50,1.55,1.45,1.46,44451950,352260775
0,Jan 03 2022,1.54,1.63,1.47,1.50,71212804,362236650
0,Jan 02 2022,1.46,1.58,1.44,1.54,88806199,371359918
0,Jan 01 2022,1.43,1.46,1.42,1.46,21564799,352100684
0,Dec 31 2021,1.43,1.50,1.40,1.43,38258256,344322282
0,Dec 30 2021,1.41,1.47,1.37,1.43,45429473,345082661
0,Dec 29 2021,1.51,1.53,1.38,1.42,70808562,342362808
0,Dec 28 2021,1.72,1.72,1.49,1.51,70895218,364351006
0,Dec 27 2021,1.74,1.77,1.70,1.71,55363010,413958206
0,Dec 26 2021,1.73,1.78,1.68,1.74,69310810,420820991
0,Dec 25 2021,1.68,1.78,1.65,1.73,90939210,417502452
0,Dec 24 2021,1.68,1.88,1.61,1.67,180787421,404617122
0,Dec 23 2021,1.46,1.68,1.42,1.67,65800924,403315349
0,Dec 22 2021,1.43,1.48,1.41,1.46,39589188,353791999
0,Dec 21 2021,1.34,1.44,1.30,1.43,32407521,344329164
0,Dec 20 2021,1.39,1.41,1.28,1.34,33642327,322855908
0,Dec 19 2021,1.42,1.49,1.38,1.38,33477386,334255823
0,Dec 18 2021,1.37,1.45,1.34,1.42,35520446,344174923
0,Dec 17 2021,1.37,1.42,1.30,1.37,52377864,330818369
0,Dec 16 2021,1.40,1.52,1.37,1.37,84789231,331973267
0,Dec 15 2021,1.30,1.40,1.18,1.40,92226553,338827649
0,Dec 14 2021,1.29,1.32,1.19,1.30,87660923,314951467
0,Dec 13 2021,1.50,1.51,1.28,1.29,50658287,311197304
0,Dec 12 2021,1.45,1.52,1.43,1.50,42985220,361385621
0,Dec 11 2021,1.40,1.50,1.40,1.46,55811635,351740287
0,Dec 10 2021,1.47,1.51,1.36,1.41,82939705,339784871
0,Dec 09 2021,1.59,1.64,1.47,1.47,67329098,355326571
0,Dec 08 2021,1.64,1.67,1.51,1.59,83743454,384280066
0,Dec 07 2021,1.64,1.72,1.60,1.64,107332758,396205295
0,Dec 06 2021,1.70,1.70,1.44,1.64,207499488,397200556
0,Dec 05 2021,1.97,1.97,1.58,1.69,159236614,408930866
0,Dec 04 2021,2.08,2.10,1.41,1.97,388256707,476504908
0,Dec 03 2021,2.37,2.43,1.99,2.07,125301706,500312343
0,Dec 02 2021,2.24,2.55,2.10,2.37,278247176,572349048
0,Dec 01 2021,2.37,2.48,2.22,2.24,81274867,542090093
0,Nov 30 2021,2.43,2.59,2.35,2.38,159425796,575278265
0,Nov 29 2021,2.52,2.52,2.34,2.43,113235189,586582059
0,Nov 28 2021,2.40,2.53,2.09,2.51,211316240,606184292
0,Nov 27 2021,2.40,2.48,2.27,2.39,113269966,577068143
0,Nov 26 2021,2.89,2.94,2.31,2.38,269082351,576028096
0,Nov 25 2021,3.02,3.26,2.70,3.18,618123255,767207227
0,Nov 24 2021,2.74,3.26,2.67,2.88,814637587,695503030
0,Nov 23 2021,2.44,3.50,2.34,2.74,1162325224,661781752
0,Nov 22 2021,2.53,2.62,2.20,2.44,191081232,589175204
0,Nov 21 2021,2.77,2.77,2.39,2.54,138180604,612517846
0,Nov 20 2021,2.62,2.81,2.45,2.76,245454566,666583003
0,Nov 19 2021,2.36,2.75,2.35,2.59,280832495,625530867
0,Nov 18 2021,2.56,2.66,2.14,2.35,505368424,566541429
0,Nov 17 2021,2.32,3.29,2.24,2.52,1174256080,607992061
0,Nov 16 2021,1.80,2.36,1.78,2.31,813854284,556907559
0,Nov 15 2021,1.73,2.10,1.73,1.80,679971766,433848360
0,Nov 14 2021,1.54,1.72,1.54,1.71,220274767,413227550
0,Nov 13 2021,1.57,1.73,1.50,1.54,203927737,371428847
0,Nov 12 2021,1.48,1.60,1.42,1.57,176240341,378404999
0,Nov 11 2021,1.32,1.51,1.30,1.48,133622100,358404347
0,Nov 10 2021,1.39,1.53,1.30,1.32,145175250,318559177
0,Nov 09 2021,1.44,1.46,1.36,1.39,67729519,336494038
0,Nov 08 2021,1.49,1.54,1.41,1.44,72091534,348964713
0,Nov 07 2021,1.57,1.60,1.48,1.49,65041384,360042957
0,Nov 06 2021,1.58,1.64,1.51,1.57,107664066,379739072
0,Nov 05 2021,1.50,1.64,1.47,1.58,161622031,382228549
0,Nov 04 2021,1.71,1.71,1.50,1.51,123501918,363970232
0,Nov 03 2021,1.70,1.81,1.49,1.71,417907900,413488319
